name,street,city,state,zip,price,link,rdi,CMRA
Grants Pass - 6th St,"1051 NE 6th St Ste C, PMB #MAILBOX",Grants Pass,OR,97526,US$9.75/month,https://www.anytimemailbox.com/s/grants-pass-1051-ne-6th-street,Commercial,N
Medford - Main St,122 E Main St Suite 400-MAILBOX,Medford,OR,97501,US$39.99/month,https://www.anytimemailbox.com/s/medford-122-e-main-street,Commercial,N
Gearhart,3095 HW 101 N Ste 11 Unit #MAILBOX,Gearhart,OR,97138,US$9.99/month,https://www.anytimemailbox.com/s/gearhart-3095-hw-101-n,Commercial,N
